id,wrkstat,prestg10,age,sex
53,1.0,72.0,43.0,2.0
31,1.0,45.0,65.0,1.0
458,5.0,39.0,65.0,2.0
2439,2.0,48.0,38.0,2.0
2472,5.0,56.0,72.0,2.0
3134,4.0,22.0,29.0,1.0
2403,3.0,53.0,64.0,2.0
849,5.0,61.0,62.0,2.0
665,8.0,47.0,35.0,2.0
2481,1.0,47.0,25.0,2.0
1915,5.0,38.0,62.0,1.0
2356,1.0,53.0,65.0,2.0
1086,1.0,24.0,44.0,2.0
2493,5.0,33.0,69.0,1.0
1326,2.0,49.0,42.0,2.0
2563,7.0,32.0,27.0,2.0
3079,8.0,38.0,57.0,2.0
1373,5.0,,76.0,1.0
959,1.0,25.0,23.0,1.0
93,7.0,28.0,47.0,1.0
47,1.0,31.0,32.0,2.0
2910,7.0,,19.0,2.0
2053,1.0,38.0,29.0,2.0
1366,3.0,18.0,30.0,2.0
258,1.0,32.0,59.0,2.0
442,5.0,72.0,,1.0
1807,1.0,50.0,,1.0
2086,5.0,55.0,,1.0
2139,7.0,35.0,56.0,2.0
1226,1.0,65.0,,2.0
1754,1.0,46.0,38.0,1.0
1266,5.0,46.0,71.0,2.0
2735,5.0,44.0,77.0,1.0
678,1.0,50.0,38.0,2.0
2475,5.0,46.0,73.0,1.0
2332,2.0,29.0,40.0,2.0
3114,1.0,45.0,44.0,1.0
1278,1.0,59.0,32.0,2.0
814,1.0,51.0,40.0,2.0
2169,5.0,37.0,62.0,2.0
603,1.0,39.0,,1.0
2987,1.0,59.0,33.0,1.0
935,7.0,,18.0,2.0
1963,4.0,53.0,45.0,2.0
1113,7.0,38.0,33.0,2.0
724,8.0,20.0,52.0,2.0
1496,5.0,65.0,84.0,1.0
2850,7.0,21.0,58.0,2.0
2237,2.0,36.0,78.0,2.0
2026,5.0,45.0,70.0,1.0
2760,3.0,61.0,27.0,2.0
3394,1.0,,42.0,1.0
2956,5.0,53.0,,2.0
839,8.0,44.0,55.0,1.0
3202,1.0,65.0,49.0,1.0
16,5.0,55.0,65.0,1.0
427,5.0,50.0,,2.0
740,1.0,61.0,43.0,2.0
2231,1.0,35.0,25.0,1.0
2960,8.0,39.0,48.0,2.0
309,5.0,66.0,65.0,1.0
1545,1.0,65.0,48.0,2.0
3348,1.0,45.0,60.0,1.0
1185,1.0,43.0,58.0,2.0
1836,1.0,74.0,62.0,1.0
987,2.0,31.0,40.0,2.0
637,1.0,49.0,61.0,1.0
1149,2.0,32.0,24.0,2.0
1425,2.0,42.0,53.0,2.0
700,1.0,60.0,29.0,2.0
594,1.0,57.0,52.0,2.0
641,1.0,48.0,53.0,1.0
974,1.0,33.0,21.0,2.0
3488,1.0,71.0,31.0,1.0
2699,1.0,50.0,30.0,1.0
1258,1.0,48.0,45.0,1.0
3504,5.0,46.0,65.0,2.0
1156,5.0,35.0,65.0,1.0
3415,1.0,38.0,61.0,2.0
3144,5.0,60.0,53.0,1.0
1309,1.0,32.0,,2.0
651,1.0,45.0,59.0,1.0
764,6.0,65.0,22.0,2.0
151,1.0,61.0,44.0,2.0
1380,1.0,44.0,32.0,1.0
2242,5.0,17.0,72.0,2.0
2951,1.0,65.0,57.0,2.0
3160,7.0,,32.0,1.0
774,8.0,52.0,55.0,2.0
2861,2.0,,22.0,1.0
1497,5.0,50.0,79.0,1.0
2557,1.0,48.0,46.0,1.0
1543,1.0,61.0,34.0,1.0
1619,6.0,48.0,,1.0
2510,5.0,53.0,79.0,1.0
35,7.0,40.0,62.0,2.0
15,7.0,21.0,41.0,2.0
2471,5.0,60.0,79.0,1.0
3355,1.0,43.0,59.0,2.0
3225,1.0,40.0,46.0,2.0
1507,1.0,35.0,61.0,1.0
2074,6.0,48.0,22.0,2.0
1939,1.0,49.0,24.0,2.0
3327,2.0,47.0,70.0,2.0
